,strain_full,strain_short,species,gc,accession,gc_percent,genome_components,chromosomes,total_seq_length,genes_nc,genes_coding,pseudogenes,total_genes
0,Chlamydia trachomatis D/UW_3/CX,D/UW-3/CX,Chlamydia trachomatis,GCF_000008725.1,Chlamydia trachomatis D/UW-3/CX,41.0,1,1,1042519,45,887,3,935
0,Chlorobaculum tepidum TLS,TLS,Chlorobaculum tepidum,GCF_000006985.1,Chlorobaculum tepidum TLS,56.5,1,1,2154946,59,1994,41,2094
0,Chlorobium phaeobacteroides DSM 266,DSM 266,Chlorobium phaeobacteroides,GCF_000015125.1,Chlorobium phaeobacteroides DSM 266,48.0,1,1,3133902,56,2729,51,2836
0,Chloroflexus aurantiacus J_10_fl,J-10-fl,Chloroflexus aurantiacus,GCF_000018865.1,Chloroflexus aurantiacus J-10-fl,56.5,1,1,5258541,60,4007,44,4111
0,Chromobacterium violaceum ATCC 12472,ATCC 12472,Chromobacterium violaceum,GCF_000007705.1,Chromobacterium violaceum ATCC 12472,64.5,1,1,4751080,128,4323,42,4493
0,Citrobacter koseri ATCC BAA_895,ATCC BAA-895,Citrobacter koseri,GCF_000018045.1,Citrobacter koseri ATCC BAA-895,53.5,3,3,4735357,111,4255,47,4413
0,Clostridioides difficile 630,630,Clostridioides difficile,GCF_000009205.2,Clostridioides difficile 630,29.0,2,2,4298133,124,3788,55,3967
0,Clostridium acetobutylicum ATCC 824,ATCC 824,Clostridium acetobutylicum,GCF_000008765.1,Clostridium acetobutylicum ATCC 824,30.5,2,2,4132880,112,3815,47,3974
0,Clostridium beijerinckii NCIMB 8052,NCIMB 8052,Clostridium beijerinckii,GCF_000016965.1,Clostridium beijerinckii NCIMB 8052,29.5,1,1,6000632,143,5166,73,5382
0,Clostridium botulinum A str. ATCC 19397,ATCC 19397,Clostridium botulinum,GCF_000017025.1,Clostridium botulinum A str. ATCC 19397,28.0,1,1,3863450,109,3476,39,3624
0,Clostridium botulinum A str. Hall,Hall,Clostridium botulinum,GCF_000017045.1,Clostridium botulinum A str. Hall,28.0,1,1,3760560,109,3332,53,3494
0,Clostridium botulinum B1 str. Okra,Okra,Clostridium botulinum,GCF_000019305.1,Clostridium botulinum B1 str. Okra,28.0,2,2,4107013,113,3733,54,3900
0,Clostridium botulinum F str. Langeland,Langeland,Clostridium botulinum,GCF_000017065.1,Clostridium botulinum F str. Langeland,28.0,2,2,4012918,112,3593,46,3751
0,Clostridium kluyveri DSM 555,DSM 555,Clostridium kluyveri,GCF_000016505.1,Clostridium kluyveri DSM 555,32.0,2,2,4023800,85,3844,91,4020
0,Clostridium kluyveri NBRC 12016,NBRC 12016,Clostridium kluyveri,GCF_000010265.1,Clostridium kluyveri NBRC 12016,32.0,2,2,3955303,85,3715,92,3892
0,Clostridium novyi NT,NT,Clostridium novyi,GCF_000014125.1,Clostridium novyi NT,28.5,1,1,2547720,116,2296,25,2437
0,Clostridium perfringens ATCC 13124,ATCC 13124,Clostridium perfringens,GCF_000013285.1,Clostridium perfringens ATCC 13124,28.0,1,1,3256683,121,2834,26,2981
0,Clostridium perfringens SM101,SM101,Clostridium perfringens,GCF_000013845.2,Clostridium perfringens SM101,28.0,3,3,2921996,128,2516,67,2711
0,Clostridium perfringens str. 13,13,Clostridium perfringens,GCF_000009685.1,Clostridium perfringens str. 13,28.5,2,2,3085740,130,2654,44,2828
0,Clostridium tetani E88,Massachusetts substr. E88,Clostridium tetani,GCF_000007625.1,Clostridium tetani E88,28.5,2,2,2873333,76,2729,44,2849
0,Colwellia psychrerythraea 34H,34H; BAA-681,Colwellia psychrerythraea,GCF_000012325.1,Colwellia psychrerythraea 34H,38.0,1,1,5373180,120,4403,47,4570
0,Corynebacterium efficiens YS_314,YS-314,Corynebacterium efficiens,GCF_000011305.1,Corynebacterium efficiens YS-314,62.5,3,3,3219505,74,2826,49,2949
0,Corynebacterium glutamicum ATCC 13032,ATCC 13032,Corynebacterium glutamicum,GCF_000011325.1,Corynebacterium glutamicum ATCC 13032,53.5,1,1,3309401,80,2969,35,3084
0,Corynebacterium glutamicum R,R,Corynebacterium glutamicum,GCF_000010225.1,Corynebacterium glutamicum R,54.0,2,2,3363299,78,3034,41,3153
0,Corynebacterium jeikeium K411,K411 = NCTC 11915,Corynebacterium jeikeium,GCF_000006605.1,Corynebacterium jeikeium K411,61.0,2,2,2476822,62,2061,59,2182
0,Coxiella burnetii Dugway 5J108_111,Dugway 5J108-111,Coxiella burnetii,GCF_000017105.1,Coxiella burnetii Dugway 5J108-111,42.0,2,2,2212937,51,2066,223,2340
0,Coxiella burnetii RSA 331,RSA 331,Coxiella burnetii,GCF_000018745.1,Coxiella burnetii RSA 331,42.5,2,2,2053744,50,2065,201,2316
0,Coxiella burnetii RSA 493,RSA 493,Coxiella burnetii,GCF_000007765.2,Coxiella burnetii RSA 493,42.5,2,2,2032807,45,1833,207,2085
0,Crocosphaera subtropica ATCC 51142,ATCC 51142,Crocosphaera subtropica,GCF_000017845.1,Crocosphaera subtropica ATCC 51142,37.5,6,6,5460377,53,4933,79,5065
0,Cronobacter sakazakii ATCC BAA_894,ATCC BAA-894,Cronobacter sakazakii,GCF_000017665.1,Cronobacter sakazakii ATCC BAA-894,56.5,3,3,4530777,114,4140,58,4312
0,Cupriavidus necator H16,H16,Cupriavidus necator,GCF_000009285.1,Cupriavidus necator H16,66.0,3,3,7416678,80,6627,186,6893
0,Cutibacterium acnes KPA171202,KPA171202,Cutibacterium acnes,GCF_000008345.1,Cutibacterium acnes KPA171202,60.0,1,1,2560265,58,2326,92,2476
0,Cytophaga hutchinsonii ATCC 33406,ATCC 33406,Cytophaga hutchinsonii,GCF_000014145.1,Cytophaga hutchinsonii ATCC 33406,38.5,1,1,4433218,51,3674,22,3747
0,Deferribacter desulfuricans SSM1,SSM1,Deferribacter desulfuricans,GCF_000010985.1,Deferribacter desulfuricans SSM1,30.0,2,2,2542933,53,2472,2,2527
0,Dehalococcoides mccartyi 195,195,Dehalococcoides mccartyi,GCF_000011905.1,Dehalococcoides mccartyi 195,48.5,1,1,1469720,51,1512,15,1578
0,Dehalococcoides mccartyi CBDB1,CBDB1,Dehalococcoides mccartyi,GCF_000009025.1,Dehalococcoides mccartyi CBDB1,47.0,1,1,1395502,52,1423,9,1484
0,Deinococcus radiodurans R1,R1,Deinococcus radiodurans,GCF_000008565.1,Deinococcus radiodurans R1,66.5,4,4,3284156,62,3126,102,3290
0,Delftia acidovorans SPH_1,SPH-1,Delftia acidovorans,GCF_000018665.1,Delftia acidovorans SPH-1,66.0,1,1,6767514,98,6135,30,6263
0,Desulfitobacterium hafniense Y51,Y51,Desulfitobacterium hafniense,GCF_000010045.1,Desulfitobacterium hafniense Y51,47.0,1,1,5727534,81,5299,88,5468
0,Desulforamulus reducens MI_1,MI-1,Desulforamulus reducens,GCF_000016165.1,Desulforamulus reducens MI-1,42.0,1,1,3608104,100,3454,62,3616
0,Desulfosudis oleivorans Hxd3,Hxd3,Desulfosudis oleivorans,GCF_000018405.1,Desulfosudis oleivorans Hxd3,56.0,1,1,3944167,54,3316,7,3377
0,Desulfovibrio vulgaris DP4,DP4,Desulfovibrio vulgaris,GCF_000015485.1,Desulfovibrio vulgaris DP4,63.0,2,2,3661391,89,3069,11,3169
0,Dichelobacter nodosus VCS1703A,VCS1703A,Dichelobacter nodosus,GCF_000015345.1,Dichelobacter nodosus VCS1703A,44.0,1,1,1389350,58,1287,5,1350
0,Dinoroseobacter shibae DFL 12 = DSM 16493,DFL 12,Dinoroseobacter shibae,GCF_000018145.1,Dinoroseobacter shibae DFL 12 = DSM 16493,65.5,6,6,4417868,54,4203,65,4322
0,Ehrlichia canis str. Jake,Jake,Ehrlichia canis,GCF_000012565.1,Ehrlichia canis str. Jake,28.5,1,1,1315030,42,939,11,992
0,Ehrlichia chaffeensis str. Arkansas,Arkansas,Ehrlichia chaffeensis,GCF_000013145.1,Ehrlichia chaffeensis str. Arkansas,30.0,1,1,1176248,43,913,17,973
0,Enterococcus faecalis V583,V583,Enterococcus faecalis,GCF_000007785.1,Enterococcus faecalis V583,37.0,4,4,3359974,83,3186,65,3334
0,Erythrobacter litoralis HTCC2594,HTCC2594,Erythrobacter litoralis,GCF_000013005.1,Erythrobacter litoralis HTCC2594,63.0,1,1,3052398,50,2946,14,3010
0,Escherichia coli 536,536,Escherichia coli,GCF_000013305.1,Escherichia coli 536,50.5,1,1,4938920,108,4359,241,4708
0,Escherichia coli APEC O1,APEC O1,Escherichia coli,GCF_000014845.1,Escherichia coli APEC O1,50.0,3,3,5497653,123,5095,222,5440
0,Escherichia coli ATCC 8739,ATCC 8739,Escherichia coli,GCF_000019385.1,Escherichia coli ATCC 8739,50.5,1,1,4746218,120,4282,146,4548
