"","gcf","ar_count"
"173","GCF_000012005.1",27
"174","GCF_000012025.1",28
"175","GCF_000012045.1",23
"176","GCF_000012105.1",3
"177","GCF_000012125.1",1
"178","GCF_000012165.2",4
"179","GCF_000012185.1",7
"180","GCF_000012205.1",8
"181","GCF_000012245.1",11
"182","GCF_000012265.1",10
"183","GCF_000012305.1",0
"184","GCF_000012325.1",0
"185","GCF_000012365.1",6
"186","GCF_000012445.1",10
"187","GCF_000012525.1",2
"188","GCF_000012685.1",3
"189","GCF_000012705.1",2
"190","GCF_000012745.1",1
"191","GCF_000012785.1",7
"192","GCF_000012945.1",8
"193","GCF_000012985.1",1
"194","GCF_000013005.1",0
"195","GCF_000013025.1",0
"196","GCF_000013065.1",7
"197","GCF_000013085.1",0
"198","GCF_000013245.1",9
"199","GCF_000013265.1",29
"200","GCF_000013285.1",1
"201","GCF_000013305.1",30
"202","GCF_000013325.1",1
"203","GCF_000013345.1",0
"204","GCF_000013365.1",3
"205","GCF_000013385.1",1
"206","GCF_000013405.1",2
"207","GCF_000013425.1",23
"208","GCF_000013465.1",23
"209","GCF_000013485.1",4
"210","GCF_000013505.1",4
"211","GCF_000013545.1",4
"212","GCF_000013585.1",28
"213","GCF_000013605.1",0
"214","GCF_000013625.1",3
"215","GCF_000013645.1",6
"216","GCF_000013665.1",1
"217","GCF_000013705.1",1
"218","GCF_000013765.1",2
"219","GCF_000013785.1",8
"220","GCF_000013805.1",9
"221","GCF_000013825.1",10
"222","GCF_000013845.2",1
"223","GCF_000013865.1",3
"224","GCF_000013885.1",0
"225","GCF_000013905.1",0
"226","GCF_000013925.1",10
"227","GCF_000013985.1",1
"228","GCF_000014025.1",1
"229","GCF_000014105.1",11
"230","GCF_000014145.1",0
"231","GCF_000014205.1",2
"232","GCF_000014285.2",0
"233","GCF_000014365.2",8
"234","GCF_000014425.1",0
"235","GCF_000014465.1",0
"236","GCF_000014545.1",1
"237","GCF_000014565.1",4
"238","GCF_000014605.1",1
"239","GCF_000014625.1",20
"240","GCF_000014645.1",1
"241","GCF_000014685.1",2
"242","GCF_000014705.1",1
"243","GCF_000014765.1",1
"244","GCF_000014785.1",0
"245","GCF_000014805.1",5
"246","GCF_000014845.1",32
"247","GCF_000014885.1",0
"248","GCF_000014925.1",0
"249","GCF_000014985.1",11
"250","GCF_000015005.1",11
"251","GCF_000015025.1",1
"252","GCF_000015045.1",0
"253","GCF_000015065.1",8
"254","GCF_000015165.1",2
"255","GCF_000015185.1",2
"256","GCF_000015245.1",3
"257","GCF_000015265.1",2
"258","GCF_000015305.1",8
"259","GCF_000015325.1",5
"260","GCF_000015345.1",0
"261","GCF_000015365.1",3
"262","GCF_000015445.1",3
"263","GCF_000015465.1",6
"264","GCF_000015485.1",1
"265","GCF_000015505.1",3
"266","GCF_000015525.1",7
"267","GCF_000015565.1",0
"268","GCF_000015585.1",0
"269","GCF_000015605.1",7
"270","GCF_000015625.1",7
"271","GCF_000015725.1",4
"272","GCF_000015745.1",2
"273","GCF_000015785.2",7
"274","GCF_000015845.1",4
"275","GCF_000015865.1",1
"276","GCF_000015885.1",1
"277","GCF_000015905.1",7
"278","GCF_000015925.1",7
"279","GCF_000016045.1",31
"280","GCF_000016065.1",2
"281","GCF_000016105.1",1
"282","GCF_000016145.1",15
"283","GCF_000016165.1",0
"284","GCF_000016185.1",2
"285","GCF_000016245.1",9
"286","GCF_000016265.1",3
"287","GCF_000016285.1",0
"288","GCF_000016305.1",31
"289","GCF_000016425.1",1
"290","GCF_000016445.1",10
"291","GCF_000016505.1",4
"292","GCF_000016645.1",1
"293","GCF_000016685.1",1
"294","GCF_000016725.1",0
"295","GCF_000016745.1",0
"296","GCF_000016805.1",22
"297","GCF_000016845.1",2
"298","GCF_000016925.1",15
"299","GCF_000016945.1",8
"300","GCF_000016965.1",1
"301","GCF_000016985.1",2
"302","GCF_000017005.1",3
"303","GCF_000017025.1",5
"304","GCF_000017045.1",5
"305","GCF_000017065.1",6
"306","GCF_000017085.1",24
"307","GCF_000017145.1",1
"308","GCF_000017205.1",20
"309","GCF_000017265.1",1
"310","GCF_000017305.1",0
"311","GCF_000017325.1",4
"312","GCF_000017405.1",4
"313","GCF_000017425.1",3
"314","GCF_000017505.1",1
"315","GCF_000017565.1",1
"316","GCF_000017665.1",23
"317","GCF_000017705.1",6
"318","GCF_000017745.1",29
"319","GCF_000017765.1",29
"320","GCF_000017785.1",1
"321","GCF_000017845.1",2
"322","GCF_000017885.4",4
"323","GCF_000017905.1",8
"324","GCF_000017965.1",4
"325","GCF_000017985.1",29
"326","GCF_000018025.1",1
"327","GCF_000018045.1",29
"328","GCF_000018125.1",4
"329","GCF_000018185.1",4
"330","GCF_000018285.1",0
"331","GCF_000018325.1",2
"332","GCF_000018345.1",11
"333","GCF_000018385.1",29
"334","GCF_000018405.1",0
"335","GCF_000018445.1",11
"336","GCF_000018505.1",10
"337","GCF_000018525.1",2
"338","GCF_000018625.1",27
"339","GCF_000018665.1",5
"340","GCF_000018705.1",29
"341","GCF_000018725.1",2
"342","GCF_000018765.1",4
"343","GCF_000018785.1",0
"344","GCF_000018805.1",10
"345","GCF_000018825.1",6
"346","GCF_000018845.1",1
"347","GCF_000018885.1",0
"348","GCF_000018905.1",2
"349","GCF_000018965.1",7
"350","GCF_000018985.1",9
"351","GCF_000019005.1",9
"352","GCF_000019025.1",10
"353","GCF_000019045.1",2
"354","GCF_000019125.1",9
"355","GCF_000019185.1",1
"356","GCF_000019205.1",1
"357","GCF_000019225.1",0
"358","GCF_000019265.1",10
"359","GCF_000019305.1",6
"360","GCF_000019345.1",1
"361","GCF_000019365.1",1
"362","GCF_000019385.1",29
"363","GCF_000019405.1",2
"364","GCF_000019425.1",29
"365","GCF_000019485.1",0
"366","GCF_000019505.1",10
"367","GCF_000019525.1",1
"368","GCF_000019545.1",7
"369","GCF_000019565.1",27
"370","GCF_000019585.2",3
"371","GCF_000019645.1",32
"372","GCF_000019725.1",1
"373","GCF_000019785.1",4
"374","GCF_000019825.1",9
"375","GCF_000019845.1",0
"376","GCF_000019925.1",8
"377","GCF_000019945.1",1
"378","GCF_000019985.1",11
"379","GCF_000020025.1",0
"380","GCF_000020045.1",4
"381","GCF_000020105.1",12
"382","GCF_000020125.1",6
"383","GCF_000020165.1",1
"384","GCF_000020185.1",28
"385","GCF_000020245.1",10
"386","GCF_000020265.1",4
"387","GCF_000020285.1",0
"388","GCF_000020345.1",7
"389","GCF_000020365.1",1
"390","GCF_000020405.1",5
"391","GCF_000020425.1",2
"392","GCF_000020445.1",3
"393","GCF_000020465.1",0
"394","GCF_000020505.1",1
"395","GCF_000020585.3",1
"396","GCF_000020625.1",0
"397","GCF_000020665.1",6
"398","GCF_000020685.1",0
"399","GCF_000020705.1",30
"400","GCF_000020725.1",0
"401","GCF_000020745.1",33
"402","GCF_000020765.1",1
"403","GCF_000020805.1",0
"404","GCF_000020825.1",1
"405","GCF_000020865.1",15
"406","GCF_000020885.1",29
"407","GCF_000020925.1",29
"408","GCF_000021005.1",4
"409","GCF_000021025.1",1
"410","GCF_000021045.1",8
"411","GCF_000021125.1",30
"412","GCF_000021165.1",9
"413","GCF_000021185.1",8
"414","GCF_000021225.1",7
"415","GCF_000021245.2",15
"416","GCF_000021265.1",1
"417","GCF_000021325.1",0
"418","GCF_000021345.1",4
"419","GCF_000021365.1",0
"420","GCF_000021405.1",1
"421","GCF_000021425.1",3
"422","GCF_000021445.1",9
"423","GCF_000021465.1",10
"424","GCF_000021485.1",1
"425","GCF_000021545.1",0
"426","GCF_000021605.1",9
"427","GCF_000021625.1",9
"428","GCF_000021665.1",4
"429","GCF_000021745.1",0
"430","GCF_000021765.1",3
"431","GCF_000021785.1",10
"432","GCF_000021845.1",0
"433","GCF_000021865.1",3
"434","GCF_000021885.1",0
"435","GCF_000021905.1",0
"436","GCF_000021925.1",1
"437","GCF_000021985.1",1
"438","GCF_000022005.1",2
"439","GCF_000022025.1",0
"440","GCF_000022065.1",1
"441","GCF_000022085.1",0
"442","GCF_000022105.1",1
"443","GCF_000022145.1",1
"444","GCF_000022165.1",28
"445","GCF_000022225.1",30
"446","GCF_000022245.1",31
"447","GCF_000022265.1",0
"448","GCF_000022345.1",29
"449","GCF_000022505.1",8
"450","GCF_000022565.1",0
"451","GCF_000022585.1",12
"452","GCF_000022625.1",2
"453","GCF_000022645.2",7
"454","GCF_000022665.1",29
"455","GCF_000022685.1",1
"456","GCF_000022705.1",3
"457","GCF_000022725.1",2
"458","GCF_000022745.1",2
"459","GCF_000022765.1",6
"460","GCF_000022805.1",10
"461","GCF_000022845.1",9
"462","GCF_000022865.1",9
"463","GCF_000022885.2",10
"464","GCF_000022905.1",0
"465","GCF_000022925.1",8
"466","GCF_000022965.1",3
"467","GCF_000022985.1",2
"468","GCF_000023025.1",1
"469","GCF_000023065.1",3
"470","GCF_000023085.1",0
"471","GCF_000023105.1",0
"472","GCF_000023125.1",0
"473","GCF_000023145.1",0
"474","GCF_000023165.1",1
"475","GCF_000023185.1",4
"476","GCF_000023205.1",0
"477","GCF_000023225.1",1
"478","GCF_000023245.1",4
"479","GCF_000023305.1",1
"480","GCF_000023365.1",29
"481","GCF_000023405.1",1
"482","GCF_000023465.1",1
"483","GCF_000023545.1",11
"484","GCF_000023565.1",12
"485","GCF_000023585.1",2
"486","GCF_000023605.1",10
"487","GCF_000023625.1",15
"488","GCF_000023665.1",30
"489","GCF_000023685.1",2
"490","GCF_000023745.1",0
"491","GCF_000023785.1",0
"492","GCF_000023805.1",10
"493","GCF_000023865.1",2
"494","GCF_000023885.1",0
"495","GCF_000023905.1",1
"496","GCF_000023925.1",0
"497","GCF_000024025.1",3
"498","GCF_000024105.1",1
"499","GCF_000024125.1",0
"500","GCF_000024145.1",1
"501","GCF_000024205.1",2
"502","GCF_000024245.1",1
"503","GCF_000024265.1",0
"504","GCF_000024285.1",0
"505","GCF_000024345.1",4
"506","GCF_000024365.1",3
"507","GCF_000024385.1",2
"508","GCF_000024425.1",0
"509","GCF_000024445.1",2
"510","GCF_000024545.1",1
"511","GCF_000024585.1",22
"512","GCF_000024645.1",11
"513","GCF_000024685.1",8
"514","GCF_000024725.1",0
"515","GCF_000024765.1",2
"516","GCF_000024785.1",5
"517","GCF_000024805.1",0
"518","GCF_000024825.1",6
"519","GCF_000024845.1",0
"520","GCF_000024865.1",6
"521","GCF_000024885.1",0
"522","GCF_000024925.1",1
"523","GCF_000024945.1",1
"524","GCF_000024965.1",1
"525","GCF_000024985.1",0
"526","GCF_000025005.1",1
"527","GCF_000025045.1",1
"528","GCF_000025065.1",11
"529","GCF_000025085.1",11
"530","GCF_000025145.1",23
"531","GCF_000025165.1",29
"532","GCF_000025185.1",0
"533","GCF_000025205.1",4
"534","GCF_000025225.2",1
"535","GCF_000025245.2",3
"536","GCF_000025265.1",1
"537","GCF_000025345.1",1
"538","GCF_000025365.1",1
"539","GCF_000025385.1",1
"540","GCF_000025405.2",12
"541","GCF_000025425.1",9
"542","GCF_000025465.1",26
"543","GCF_000025485.1",1
"544","GCF_000025545.1",1
"545","GCF_000025565.1",27
"546","GCF_000025705.1",0
"547","GCF_000025745.1",29
"548","GCF_000025765.1",2
"549","GCF_000025805.1",2
"550","GCF_000025825.1",2
"551","GCF_000025965.1",4
"552","GCF_000025985.1",2
"553","GCF_000026025.1",1
"554","GCF_000026105.1",11
"555","GCF_000026145.1",2
"556","GCF_000026185.1",11
"557","GCF_000026225.1",27
"558","GCF_000026245.1",31
"559","GCF_000026265.1",29
"560","GCF_000026285.1",29
"561","GCF_000026345.1",30
"562","GCF_000026405.1",1
"563","GCF_000026445.2",10
"564","GCF_000026545.1",28
"565","GCF_000026565.1",28
"566","GCF_000026585.1",1
"567","GCF_000026605.1",2
"568","GCF_000026645.1",20
"569","GCF_000026665.1",11
"570","GCF_000026705.1",8
"571","GCF_000026725.1",5
"572","GCF_000026745.1",5
"573","GCF_000026905.1",2
"574","GCF_000026925.1",2
"575","GCF_000026965.1",9
"576","GCF_000027025.1",28
"577","GCF_000027045.1",24
"578","GCF_000027085.1",24
"579","GCF_000027125.1",33
"580","GCF_000027145.1",5
"581","GCF_000027165.1",11
"582","GCF_000027185.1",3
"583","GCF_000027205.1",10
"584","GCF_000027225.1",7
"585","GCF_000027265.1",13
"586","GCF_000027325.1",2
"587","GCF_000027345.1",1
"588","GCF_000039765.1",6
"589","GCF_000046685.1",2
"590","GCF_000046705.1",2
"591","GCF_000046845.1",5
"592","GCF_000047365.1",10
"593","GCF_000048645.1",8
"594","GCF_000048665.1",7
"595","GCF_000054005.1",2
"596","GCF_000055785.1",1
"597","GCF_000055945.1",1
"598","GCF_000058485.1",0
"599","GCF_000060285.1",7
"600","GCF_000061505.1",8
"601","GCF_000062885.1",6
"602","GCF_000063485.1",0
"603","GCF_000063585.1",5
"604","GCF_000067045.1",0
"605","GCF_000067165.1",1
"606","GCF_000067205.1",6
"607","GCF_000068525.2",2
"608","GCF_000068585.1",2
"609","GCF_000069185.1",8
"610","GCF_000069225.1",1
"611","GCF_000069245.1",16
"612","GCF_000069945.1",4
"613","GCF_000069965.1",12
"614","GCF_000070465.1",3
"615","GCF_000070605.1",3
"616","GCF_000072485.1",9
"617","GCF_000083545.1",1
"618","GCF_000083565.1",10
"619","GCF_000085225.1",6
"620","GCF_000085865.1",2
"621","GCF_000087965.2",1
"622","GCF_000091005.1",31
"623","GCF_000091085.2",1
"624","GCF_000091125.1",1
"625","GCF_000091305.1",6
"626","GCF_000091345.1",10
"627","GCF_000091465.1",6
"628","GCF_000091545.1",1
"629","GCF_000091565.1",10
"630","GCF_000091645.1",2
"631","GCF_000091725.1",0
"632","GCF_000091785.1",4
"633","GCF_000091905.1",3
"634","GCF_000091985.1",2
"635","GCF_000092025.1",3
"636","GCF_000092045.1",5
"637","GCF_000092205.1",0
"638","GCF_000092225.1",7
"639","GCF_000092265.1",3
"640","GCF_000092285.1",2
"641","GCF_000092325.1",3
"642","GCF_000092365.1",0
"643","GCF_000092385.1",7
"644","GCF_000092445.1",1
"645","GCF_000092485.1",2
"646","GCF_000092505.1",0
"647","GCF_000092525.1",31
"648","GCF_000092545.1",7
"649","GCF_000092585.1",1
"650","GCF_000092625.1",7
"651","GCF_000092645.1",1
"652","GCF_000092665.1",2
"653","GCF_000092685.1",2
"654","GCF_000092705.1",2
"655","GCF_000092725.1",2
"656","GCF_000092745.1",2
"657","GCF_000092765.1",3
"658","GCF_000092805.1",2
"659","GCF_000092825.1",3
"660","GCF_000092845.1",1
"661","GCF_000092865.1",1
"662","GCF_000092885.1",4
"663","GCF_000092905.1",0
"664","GCF_000092925.1",1
"665","GCF_000092985.1",3
"666","GCF_000093005.1",2
"667","GCF_000093025.1",0
"668","GCF_000093125.2",8
"669","GCF_000093145.3",2
"670","GCF_000093185.1",10
"671","GCF_000143085.1",0
"672","GCF_000143145.1",0
"673","GCF_000143205.1",1
"674","GCF_000143225.1",6
"675","GCF_000143435.1",0
"676","GCF_000143605.1",8
"677","GCF_000143685.1",4
"678","GCF_000143705.2",0
"679","GCF_000143725.1",2
"680","GCF_000143845.1",0
"681","GCF_000143885.2",4
"682","GCF_000143985.1",1
"683","GCF_000144405.1",0
"684","GCF_000144605.1",0
"685","GCF_000144675.2",0
"686","GCF_000144935.2",0
"687","GCF_000144955.2",22
"688","GCF_000145035.1",0
"689","GCF_000145235.1",1
"690","GCF_000145255.1",0
"691","GCF_000145275.1",1
"692","GCF_000145595.1",24
"693","GCF_000145825.2",8
"694","GCF_000145845.2",9
"695","GCF_000145945.2",9
"696","GCF_000146005.2",9
"697","GCF_000146165.2",3
"698","GCF_000146265.3",2
"699","GCF_000146305.1",11
"700","GCF_000146565.1",17
"701","GCF_000146875.3",1
"702","GCF_000146975.1",8
"703","GCF_000147055.1",13
"704","GCF_000147095.1",11
"705","GCF_000147735.2",3
"706","GCF_000147775.2",3
"707","GCF_000147795.2",3
"708","GCF_000147815.2",2
"709","GCF_000147835.2",1
"710","GCF_000148365.1",30
"711","GCF_000148585.2",8
"712","GCF_000148605.1",29
"713","GCF_000148625.1",1
"714","GCF_000148645.1",3
"715","GCF_000148665.1",10
"716","GCF_000148705.1",7
"717","GCF_000148815.2",0
"718","GCF_000148855.1",10
"719","GCF_000148875.1",10
"720","GCF_000148895.1",10
"721","GCF_000148915.1",10
"722","GCF_000148935.1",13
"723","GCF_000152065.3",0
"724","GCF_000152165.1",10
"725","GCF_000153405.2",1
"726","GCF_000153685.2",15
"727","GCF_000154585.2",15
"728","GCF_000154605.2",15
"729","GCF_000154745.2",0
"730","GCF_000155675.2",0
"731","GCF_000155735.2",0
"732","GCF_000156855.2",12
"733","GCF_000156995.2",8
"734","GCF_000157355.2",2
"735","GCF_000157895.3",12
"736","GCF_000159155.2",2
"737","GCF_000159455.2",2
"738","GCF_000159535.2",21
"739","GCF_000160335.2",22
"740","GCF_000162235.2",0
"741","GCF_000163615.3",2
"742","GCF_000163895.2",1
"743","GCF_000164015.3",8
"744","GCF_000164675.2",2
"745","GCF_000164885.1",0
"746","GCF_000164965.1",2
"747","GCF_000164985.3",2
"748","GCF_000165485.1",1
"749","GCF_000165525.1",7
"750","GCF_000165575.1",7
"751","GCF_000165815.1",13
"752","GCF_000165835.1",10
"753","GCF_000165905.1",2
"754","GCF_000165925.1",12
"755","GCF_000166055.1",0
"756","GCF_000166115.1",1
"757","GCF_000166135.1",1
"758","GCF_000166295.1",1
"759","GCF_000166315.1",4
"760","GCF_000166455.1",12
"761","GCF_000166635.1",1
"762","GCF_000166655.1",1
"763","GCF_000167435.2",4
"764","GCF_000167875.2",31
"765","GCF_000168315.3",3
"766","GCF_000168355.3",4
"767","GCF_000168575.2",8
"768","GCF_000168595.2",8
"769","GCF_000168635.2",8
"770","GCF_000168695.2",8
"771","GCF_000168775.2",1
"772","GCF_000169195.2",1
"773","GCF_000171795.2",8
"774","GCF_000172575.2",9
"775","GCF_000172695.2",4
"776","GCF_000172715.2",4
"777","GCF_000172795.2",4
"778","GCF_000174395.2",14
"779","GCF_000174795.2",1
"780","GCF_000175215.2",0
"781","GCF_000175935.2",12
"782","GCF_000176035.2",1
"783","GCF_000176835.2",15
"784","GCF_000176855.2",5
"785","GCF_000177195.2",2
"786","GCF_000177235.2",3
"787","GCF_000177535.2",0
"788","GCF_000177635.2",2
"789","GCF_000177655.2",1
"790","GCF_000178115.2",0
"791","GCF_000178395.2",2
"792","GCF_000178495.2",1
"793","GCF_000178875.2",4
"794","GCF_000178935.2",10
"795","GCF_000178975.2",0
"796","GCF_000179015.2",6
"797","GCF_000179395.2",0
"798","GCF_000180515.1",8
"799","GCF_000182745.2",0
"800","GCF_000183115.1",0
"801","GCF_000183155.1",1
"802","GCF_000183345.1",34
"803","GCF_000183645.1",9
"804","GCF_000183745.1",1
"805","GCF_000184185.1",29
"806","GCF_000184205.1",8
"807","GCF_000184325.1",6
"808","GCF_000184435.1",7
"809","GCF_000184685.1",0
"810","GCF_000184705.1",0
"811","GCF_000184745.1",4
"812","GCF_000185185.1",10
"813","GCF_000185205.1",10
"814","GCF_000185225.1",10
"815","GCF_000185245.1",10
"816","GCF_000185885.1",10
"817","GCF_000185905.1",0
"818","GCF_000185965.1",5
"819","GCF_000186005.1",1
"820","GCF_000186265.1",0
"821","GCF_000186345.1",0
"822","GCF_000186405.1",6
"823","GCF_000186585.1",6
"824","GCF_000186665.3",10
"825","GCF_000186725.1",9
"826","GCF_000186745.1",18
"827","GCF_000186885.1",0
"828","GCF_000187205.2",15
"829","GCF_000187705.1",10
"830","GCF_000188215.1",11
"831","GCF_000188735.1",28
"832","GCF_000188955.2",29
"833","GCF_000189295.2",0
"834","GCF_000189455.2",23
"835","GCF_000189495.1",10
"836","GCF_000189535.1",0
"837","GCF_000190575.1",2
"838","GCF_000190735.1",1
"839","GCF_000191145.1",10
"840","GCF_000191425.1",10
"841","GCF_000191445.1",11
"842","GCF_000191465.1",10
"843","GCF_000191485.1",10
"844","GCF_000191505.1",10
"845","GCF_000191525.1",10
"846","GCF_000191545.1",2
"847","GCF_000191565.1",2
"848","GCF_000191905.1",2
"849","GCF_000191925.1",1
"850","GCF_000192045.2",3
"851","GCF_000192105.1",10
"852","GCF_000192635.1",1
"853","GCF_000192705.1",1
"854","GCF_000192725.1",2
"855","GCF_000192745.1",0
"856","GCF_000192865.1",1
"857","GCF_000192885.1",2
"858","GCF_000193185.2",15
"859","GCF_000193205.1",2
"860","GCF_000193355.1",7
"861","GCF_000193395.1",0
"862","GCF_000193495.2",0
"863","GCF_000193595.2",9
"864","GCF_000193615.2",9
"865","GCF_000194115.1",1
"866","GCF_000194745.1",7
"867","GCF_000194805.1",9
"868","GCF_000195105.1",8
"869","GCF_000195275.1",1
"870","GCF_000195335.1",1
"871","GCF_000195395.5",8
"872","GCF_000195435.3",8
"873","GCF_000195515.1",8
"874","GCF_000195535.1",1
"875","GCF_000195555.1",1
"876","GCF_000195675.1",9
"877","GCF_000195695.1",9
"878","GCF_000195715.1",9
"879","GCF_000195755.1",1
"880","GCF_000195775.1",2
"881","GCF_000195795.1",8
"882","GCF_000195815.1",1
"883","GCF_000195835.3",15
"884","GCF_000195855.1",12
"885","GCF_000195955.2",15
"886","GCF_000195995.1",30
"887","GCF_000196015.1",11
"888","GCF_000196035.1",8
"889","GCF_000196055.1",2
"890","GCF_000196095.1",6
"891","GCF_000196155.1",7
"892","GCF_000196175.1",0
"893","GCF_000196215.1",1
"894","GCF_000196235.1",0
"895","GCF_000196255.1",5
"896","GCF_000196295.1",8
"897","GCF_000196335.1",1
"898","GCF_000196355.1",0
"899","GCF_000196395.1",9
"900","GCF_000196435.1",1
"901","GCF_000196475.1",7
"902","GCF_000196495.1",6
"903","GCF_000196535.1",1
"904","GCF_000196555.1",2
"905","GCF_000196575.1",2
"906","GCF_000196595.1",9
"907","GCF_000196615.1",15
"908","GCF_000196695.1",5
"909","GCF_000196735.1",8
"910","GCF_000196755.1",10
"911","GCF_000196795.1",10
"912","GCF_000196835.1",3
"913","GCF_000196875.2",2
"914","GCF_000197735.1",0
"915","GCF_000197755.2",8
"916","GCF_000197875.1",7
"917","GCF_000198775.1",2
"918","GCF_000200475.1",7
"919","GCF_000200595.1",2
"920","GCF_000202635.1",1
"921","GCF_000202835.1",0
"922","GCF_000203195.1",3
"923","GCF_000203855.3",0
"924","GCF_000203895.1",3
"925","GCF_000203915.1",8
"926","GCF_000203935.1",5
"927","GCF_000203955.1",10
"928","GCF_000204075.1",0
"929","GCF_000204115.1",3
"930","GCF_000204155.1",1
"931","GCF_000204255.1",1
